"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 11 02:57:09 MSK 2022","Thu Aug 11 02:57:31 MSK 2022","21286","","","","","","Обработка.CRM_УправлениеКлассификацей.Форма.ФормаКлиентскаяБаза.Форма. Возможно ошибочный метод","Возможно ошибочный метод: ""ИнициализироватьВариантыСписка"""
"failed","Wed Aug 10 21:21:33 MSK 2022","Wed Aug 10 21:21:54 MSK 2022","21286","","","","","","Справочник.LAD_ЗадачиОбновления.Форма.ФормаЭлемента.Форма. Пустой обработчик","Пустой обработчик: ""ПередЗаписью"""
"failed","Wed Aug 10 16:47:19 MSK 2022","Wed Aug 10 16:47:40 MSK 2022","21286","","","","","","ОбщийМодуль.LAD_ПодпискиНаСобытия.Модуль. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ПолучитьИзмененияСебестоимости"""
"failed","Wed Aug 10 23:54:06 MSK 2022","Wed Aug 10 23:54:27 MSK 2022","21286","","","","","","Документ.toledo_ПроверкаЦенКонкурентов.Форма.ФормаДокумента.Форма. Отсутствует обработчик","Отсутствует обработчик: ВключатьСлужебныеЗадачи ""ВключатьСлужебныеЗадачиПриИзменении"""
"failed","Thu Aug 11 04:26:33 MSK 2022","Thu Aug 11 04:26:55 MSK 2022","21286","","","","","","Обработка.СА_УправлениеСканАрхивом.Форма.Форма.Форма. 94,2: Переменная не определена","Строка 94,2: Переменная не определена (СА_ПрограммныеКомпоненты) #> <<?>>СА_ПрограммныеКомпоненты.Свойство(""КомпонентаПросмотраСканОбраза"", КомпонентаПросмотраСканОбраза); (Проверка: Толстый клиент (обычное приложение))"
"failed","Thu Aug 11 01:34:08 MSK 2022","Thu Aug 11 01:34:30 MSK 2022","21286","","","","","","Документ.РеализацияТоваровУслуг.Форма.ФормаДокумента.Форма. Отсутствует обработчик","Отсутствует обработчик: ТекстОстатокДопустимогоКредита.Расширение ""ТекстОстатокДопустимогоКредитаНажатие"""
"failed","Wed Aug 10 18:23:48 MSK 2022","Wed Aug 10 18:24:10 MSK 2022","21286","","","","","","ОбщийМодуль.Б_ОбменССайтомСерверВыгрузкаДанных.Модуль. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ФильтрацияСвойствПоДополнительнымНастройкам"""
"failed","Wed Aug 10 16:47:40 MSK 2022","Wed Aug 10 16:48:01 MSK 2022","21286","","","","","","ОбщийМодуль.LAD_ПодпискиНаСобытия.Модуль. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""СоздатьОбновитьДокументаИзмененияСебестоимости"""
"failed","Thu Aug 11 01:15:42 MSK 2022","Thu Aug 11 01:16:03 MSK 2022","21286","","","","","","Документ.ПриобретениеТоваровУслуг.Форма.ФормаДокумента.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""LAD_ПолучитьЗначениеКлассификатораНаСервере"""
"failed","Wed Aug 10 21:24:44 MSK 2022","Wed Aug 10 21:25:06 MSK 2022","21286","","","","","","Справочник.LAD_ТипыТочекИнтереса.МодульОбъекта. 29,4: Переменная не определена","Строка 29,4: Переменная не определена (новаОбменКСЛ) #> <<?>>новаОбменКСЛ.УдалитьТипТочкиИнтереса(ЭтотОбъект); (Проверка: Толстый клиент (обычное приложение))"
